1000	2998	4960	2754	2033
2000	4916	7351	2810	1919
3000	6415	4214	2592	1902
4000	6459	5484	2687	1847
5000	8759	4734	2817	1913
6000	8066	5199	2730	1888
7000	5909	4989	2556	1828
8000	7882	4779	2640	1824
9000	8505	4748	2677	1802
10000	7810	4975	2591	1922
