1000	1031	964	1130	1283
2000	1048	1082	1209	1146
3000	1054	1075	1163	1546
4000	1088	1065	1178	1556
5000	1013	1043	1135	1550
6000	1036	1120	1206	1112
7000	1101	786	1380	1257
8000	1085	1036	1223	1143
9000	973	1092	993	1522
10000	1068	870	1125	1143
